
"year","month","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","9","285","Broadway & E 14 St","40.73454567","-73.99074142","9549"
"2018","9","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","9171"
"2018","9","3002","South End Ave & Liberty St","40.711512","-74.015756","9029"
"2018","10","519","Pershing Square North","40.751873","-73.977706","16261"
"2018","10","497","E 17 St & Broadway","40.73704984","-73.99009296","12109"
"2018","10","402","Broadway & E 22 St","40.7403432","-73.98955109","11949"
"2018","10","435","W 21 St & 6 Ave","40.74173969","-73.99415556","11572"
"2018","10","490","8 Ave & W 33 St","40.751551","-73.993934","10393"
"2018","10","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","10370"
"2018","10","426","West St & Chambers St","40.71754834","-74.01322069","10067"
"2018","10","459","W 20 St & 11 Ave","40.746745","-74.007756","9548"
"2018","10","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","9389"
"2018","10","285","Broadway & E 14 St","40.73454567","-73.99074142","9386"
"2018","11","519","Pershing Square North","40.751873","-73.977706","10514"
"2018","11","497","E 17 St & Broadway","40.73704984","-73.99009296","8719"
"2018","11","435","W 21 St & 6 Ave","40.74173969","-73.99415556","8219"
"2018","11","402","Broadway & E 22 St","40.7403432","-73.98955109","8067"
"2018","11","285","Broadway & E 14 St","40.73454567","-73.99074142","7243"
"2018","11","490","8 Ave & W 33 St","40.751551","-73.993934","7121"
"2018","11","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6960"
"2018","11","499","Broadway & W 60 St","40.76915505","-73.98191841","6912"
"2018","11","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","6592"
"2018","11","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","6320"
"2018","12","519","Pershing Square North","40.751873","-73.977706","8242"
"2018","12","402","Broadway & E 22 St","40.7403432","-73.98955109","6917"
"2018","12","497","E 17 St & Broadway","40.73704984","-73.99009296","6818"
"2018","12","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6709"
"2018","12","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6211"
"2018","12","285","Broadway & E 14 St","40.73454567","-73.99074142","5926"
"2018","12","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","5121"
"2018","12","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","5056"
