start_borough,end_borough,hour,total_num_trips,route
Brooklyn,Brooklyn,0,5414,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,1,3058,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,2,1884,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,3,1208,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,4,895,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,5,1992,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,6,6026,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,7,12740,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,8,21197,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,9,21166,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,10,17885,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,11,19689,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,12,21810,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,13,22646,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,14,23186,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,15,23682,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,16,25194,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,17,30251,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,18,35119,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,19,30034,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,20,23153,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,21,15789,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,22,12069,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,23,8322,Brooklyn_to_Brooklyn
Brooklyn,Manhattan,0,392,Brooklyn_to_Manhattan
Brooklyn,Manhattan,1,193,Brooklyn_to_Manhattan
Brooklyn,Manhattan,2,153,Brooklyn_to_Manhattan
Brooklyn,Manhattan,3,82,Brooklyn_to_Manhattan
Brooklyn,Manhattan,4,52,Brooklyn_to_Manhattan
Brooklyn,Manhattan,5,273,Brooklyn_to_Manhattan
Brooklyn,Manhattan,6,819,Brooklyn_to_Manhattan
Brooklyn,Manhattan,7,2631,Brooklyn_to_Manhattan
Brooklyn,Manhattan,8,5615,Brooklyn_to_Manhattan
Brooklyn,Manhattan,9,4100,Brooklyn_to_Manhattan
Brooklyn,Manhattan,10,2236,Brooklyn_to_Manhattan
Brooklyn,Manhattan,11,2079,Brooklyn_to_Manhattan
Brooklyn,Manhattan,12,1983,Brooklyn_to_Manhattan
Brooklyn,Manhattan,13,2021,Brooklyn_to_Manhattan
Brooklyn,Manhattan,14,2066,Brooklyn_to_Manhattan
Brooklyn,Manhattan,15,2171,Brooklyn_to_Manhattan
Brooklyn,Manhattan,16,2278,Brooklyn_to_Manhattan
Brooklyn,Manhattan,17,2788,Brooklyn_to_Manhattan
Brooklyn,Manhattan,18,2636,Brooklyn_to_Manhattan
Brooklyn,Manhattan,19,1907,Brooklyn_to_Manhattan
Brooklyn,Manhattan,20,1509,Brooklyn_to_Manhattan
Brooklyn,Manhattan,21,1070,Brooklyn_to_Manhattan
Brooklyn,Manhattan,22,867,Brooklyn_to_Manhattan
Brooklyn,Manhattan,23,685,Brooklyn_to_Manhattan
Brooklyn,Queens,0,79,Brooklyn_to_Queens
Brooklyn,Queens,1,45,Brooklyn_to_Queens
Brooklyn,Queens,2,20,Brooklyn_to_Queens
Brooklyn,Queens,3,14,Brooklyn_to_Queens
Brooklyn,Queens,4,9,Brooklyn_to_Queens
Brooklyn,Queens,5,35,Brooklyn_to_Queens
Brooklyn,Queens,6,155,Brooklyn_to_Queens
Brooklyn,Queens,7,376,Brooklyn_to_Queens
Brooklyn,Queens,8,668,Brooklyn_to_Queens
Brooklyn,Queens,9,450,Brooklyn_to_Queens
Brooklyn,Queens,10,311,Brooklyn_to_Queens
Brooklyn,Queens,11,253,Brooklyn_to_Queens
Brooklyn,Queens,12,275,Brooklyn_to_Queens
Brooklyn,Queens,13,299,Brooklyn_to_Queens
Brooklyn,Queens,14,312,Brooklyn_to_Queens
Brooklyn,Queens,15,310,Brooklyn_to_Queens
Brooklyn,Queens,16,336,Brooklyn_to_Queens
Brooklyn,Queens,17,396,Brooklyn_to_Queens
Brooklyn,Queens,18,423,Brooklyn_to_Queens
Brooklyn,Queens,19,326,Brooklyn_to_Queens
Brooklyn,Queens,20,282,Brooklyn_to_Queens
Brooklyn,Queens,21,165,Brooklyn_to_Queens
Brooklyn,Queens,22,156,Brooklyn_to_Queens
Brooklyn,Queens,23,100,Brooklyn_to_Queens
Manhattan,Brooklyn,0,692,Manhattan_to_Brooklyn
Manhattan,Brooklyn,1,390,Manhattan_to_Brooklyn
Manhattan,Brooklyn,2,228,Manhattan_to_Brooklyn
Manhattan,Brooklyn,3,106,Manhattan_to_Brooklyn
Manhattan,Brooklyn,4,97,Manhattan_to_Brooklyn
Manhattan,Brooklyn,5,97,Manhattan_to_Brooklyn
Manhattan,Brooklyn,6,262,Manhattan_to_Brooklyn
Manhattan,Brooklyn,7,502,Manhattan_to_Brooklyn
