latitude,longitude,borough,countie
40.749156,-73.9916,Manhattan,New York
40.73401143,-74.00293877,Manhattan,New York
40.73492695,-73.99200509,Manhattan,New York
40.735238,-74.000271,Manhattan,New York
40.75797322,-73.96603308,Manhattan,New York
40.71494807,-74.00234482,Manhattan,New York
40.71273266,-74.0046073,Manhattan,New York
40.749717753,-74.002950346,Manhattan,New York
40.71044554,-73.96525063,Brooklyn,Kings County
40.69221589,-73.9842844,Brooklyn,Kings County
40.69760127,-73.99344559,Brooklyn,Kings County
40.695065,-73.987167,Brooklyn,Kings County
40.72299208,-73.97995466,Manhattan,New York
40.72521311,-73.97768752,Manhattan,New York
40.680342423,-73.9557689392,Brooklyn,Kings County
40.68415748,-73.96922273,Brooklyn,Kings County
40.69165183,-73.9999786,Brooklyn,Kings County
40.68851534,-73.9647628,Brooklyn,Kings County
40.71926081,-73.98178024,Manhattan,New York
40.72019576,-73.98997825,Manhattan,New York
40.7403432,-73.98955109,Manhattan,New York
40.72502876,-73.99069656,Manhattan,New York
40.739323,-74.008119,Manhattan,New York
40.69512845,-73.99595065,Brooklyn,Kings County
40.700469,-73.991454,Brooklyn,Kings County
40.71076228,-73.99400398,Manhattan,New York
40.6906495,-73.95643107,Brooklyn,Kings County
40.72066442,-73.98517977,Manhattan,New York
40.72228087,-73.97668709,Manhattan,New York
40.7158155,-73.99422366,Manhattan,New York
40.70281858,-73.98765762,Brooklyn,Kings County
40.7047177,-74.00926027,Manhattan,New York
40.68753406,-73.97265183,Brooklyn,Kings County
40.71291224,-74.01020234,Manhattan,New York
40.70224,-73.982578,Brooklyn,Kings County
40.69580705,-73.97355569,Brooklyn,Kings County
40.68764484,-73.96968902,Brooklyn,Kings County
40.69573398,-73.97129668,Brooklyn,Kings County
40.770513,-73.988038,Manhattan,New York
40.76584941,-73.98690506,Manhattan,New York
40.71754834,-74.01322069,Manhattan,New York
40.701907,-74.013942,Manhattan,New York
40.72467721,-73.98783413,Manhattan,New York
40.7014851,-73.98656928,Brooklyn,Kings County
40.72621788,-73.98379855,Manhattan,New York
40.72955361,-73.98057249,Manhattan,New York
40.74173969,-73.99415556,Manhattan,New York
40.68216564,-73.95399026,Brooklyn,Kings County
40.6809833854,-73.9500479759,Brooklyn,Kings County
40.72779126,-73.98564945,Manhattan,New York
40.7262807,-73.98978041,Manhattan,New York
40.75255434,-73.97282625,Manhattan,New York
40.756014,-73.967416,Manhattan,New York
40.746647,-73.993915,Manhattan,New York
40.70853074,-73.96408963,Brooklyn,Kings County
40.72740794,-73.98142006,Manhattan,New York
40.74487634,-73.99529885,Manhattan,New York
40.76370739,-73.9851615,Manhattan,New York
40.75660359,-73.9979009,Manhattan,New York
40.76461837,-73.98789473,Manhattan,New York
40.76227205,-73.98788205,Manhattan,New York
40.74475148,-73.99915362,Manhattan,New York
40.75455731,-73.96592976,Manhattan,New York
40.75001986,-73.96905301,Manhattan,New York
40.7597108,-73.97402311,Manhattan,New York
40.76695317,-73.98169333,Manhattan,New York
40.751396,-74.005226,Manhattan,New York
40.746745,-74.007756,Manhattan,New York
40.71285887,-73.96590294,Brooklyn,Kings County
40.73587678,-73.98205027,Manhattan,New York
40.74691959,-74.00451887,Manhattan,New York
40.75513557,-73.98658032,Manhattan,New York
40.74395411,-73.99144871,Manhattan,New York
40.68312489,-73.97895137,Brooklyn,Kings County
40.7652654,-73.98192338,Manhattan,New York
40.76344058,-73.98268129,Manhattan,New York
40.74345335,-74.00004031,Manhattan,New York
40.71286844,-73.95698119,Brooklyn,Kings County
40.7457121,-73.98194829,Manhattan,New York
40.72110063,-73.9919254,Manhattan,New York
40.7451677,-73.98683077,Manhattan,New York
40.74394314,-73.97966069,Manhattan,New York
40.75640548,-73.9900262,Manhattan,New York
40.76030096,-73.99884222,Manhattan,New York
40.76019252,-73.9912551,Manhattan,New York
40.76669671,-73.99061728,Manhattan,New York
40.71260486,-73.96264403,Brooklyn,Kings County
40.73935542,-73.99931783,Manhattan,New York
40.73223272,-73.98889957,Manhattan,New York
40.75500254,-73.98014437,Manhattan,New York
40.75038009,-73.98338988,Manhattan,New York
40.7462009,-73.98855723,Manhattan,New York
