"year","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","461","E 20 St & 2 Ave","40.73587678","-73.98205027","49507"
"2018","531","Forsyth St & Broome St","40.71893904","-73.99266288","49273"
"2018","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","49140"
"2018","383","Greenwich Ave & Charles St","40.735238","-74.000271","48951"
"2018","315","South St & Gouverneur Ln","40.70355377","-74.00670227","48074"
"2018","2003","1 Ave & E 18 St","40.733812191966315","-73.98054420948029","47945"
"2018","401","Allen St & Rivington St","40.72019576","-73.98997825","47847"
"2018","540","Lexington Ave & E 29 St","40.74311555376486","-73.98215353488922","47537"
"2018","528","2 Ave & E 31 St","40.74290902","-73.97706058","47269"
"2018","326","E 11 St & 1 Ave","40.72953837","-73.98426726","47107"
"2018","265","Stanton St & Chrystie St","40.72229346","-73.99147535","47027"
"2018","478","11 Ave & W 41 St","40.76030096","-73.99884222","46851"
"2018","3282","5 Ave & E 88 St","40.78307","-73.95939","46697"
"2018","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","46615"
"2018","417","Barclay St & Church St","40.71291224","-74.01020234","46325"
"2018","529","W 42 St & 8 Ave","40.7575699","-73.99098507","46260"
"2018","410","Suffolk St & Stanton St","40.72066442","-73.98517977","46118"
"2018","334","W 20 St & 7 Ave","40.74238787","-73.99726235","45490"
"2018","3137","5 Ave & E 73 St","40.77282817","-73.96685276","45071"
"2018","447","8 Ave & W 52 St","40.76370739","-73.9851615","45003"
"2018","301","E 2 St & Avenue B","40.72217444","-73.98368779","44887"
"2018","212","W 16 St & The High Line","40.74334935","-74.00681753","44712"
"2018","3244","University Pl & E 8 St","40.73143724085228","-73.99490341544151","44659"
"2018","361","Allen St & Hester St","40.71605866","-73.99190759","44351"
"2018","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","44296"
"2018","377","6 Ave & Canal St","40.72243797","-74.00566443","44261"
"2018","524","W 43 St & 6 Ave","40.75527307","-73.98316936","44234"
"2018","3016","Kent Ave & N 7 St","40.72036775298455","-73.96165072917938","44227"
"2018","476","E 31 St & 3 Ave","40.74394314","-73.97966069","44003"
"2018","501","FDR Drive & E 35 St","40.744219","-73.97121214","43897"
"2018","3163","Central Park West & W 68 St","40.7734066","-73.97782542","43862"
"2018","448","W 37 St & 10 Ave","40.75660359","-73.9979009","43752"
"2018","503","E 20 St & Park Ave","40.73827428","-73.98751968","43251"
"2018","515","W 43 St & 10 Ave","40.76009437","-73.99461843","43152"
"2018","319","Fulton St & Broadway","40.711066","-74.009447","42994"
"2018","167","E 39 St & 3 Ave","40.7489006","-73.97604882","42986"
"2018","530","11 Ave & W 59 St","40.771522","-73.990541","42626"
"2018","412","Forsyth St & Canal St","40.7158155","-73.99422366","42616"
"2018","536","1 Ave & E 30 St","40.74144387","-73.97536082","42568"
"2018","3429","Hanson Pl & Ashland Pl","40.68506807308177","-73.97790759801863","42364"
"2018","3664","North Moore St & Greenwich St","40.72019521437465","-74.0103006362915","42262"
"2018","3235","E 41 St & Madison Ave","40.752165280621966","-73.97992193698882","41763"
"2018","526","E 33 St & 5 Ave","40.74765947","-73.98490707","41590"
"2018","335","Washington Pl & Broadway","40.72903917","-73.99404649","41444"
"2018","268","Howard St & Centre St","40.71910537","-73.99973337","41427"
"2018","388","W 26 St & 10 Ave","40.749717753","-74.002950346","41221"
"2018","520","W 52 St & 5 Ave","40.75992262","-73.97648516","41173"
