start_borough,end_borough,hour,total_num_trips,route
Brooklyn,Brooklyn,0,4020,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,1,2261,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,2,1338,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,3,852,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,4,636,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,5,1728,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,6,5505,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,7,11791,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,8,21276,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,9,20148,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,10,15322,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,11,15821,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,12,17266,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,13,18337,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,14,18338,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,15,18545,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,16,20802,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,17,26365,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,18,30569,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,19,26275,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,20,19696,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,21,13629,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,22,10595,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,23,7243,Brooklyn_to_Brooklyn
Brooklyn,Manhattan,0,290,Brooklyn_to_Manhattan
Brooklyn,Manhattan,1,148,Brooklyn_to_Manhattan
Brooklyn,Manhattan,2,83,Brooklyn_to_Manhattan
Brooklyn,Manhattan,3,49,Brooklyn_to_Manhattan
Brooklyn,Manhattan,4,93,Brooklyn_to_Manhattan
Brooklyn,Manhattan,5,295,Brooklyn_to_Manhattan
Brooklyn,Manhattan,6,1032,Brooklyn_to_Manhattan
Brooklyn,Manhattan,7,3054,Brooklyn_to_Manhattan
Brooklyn,Manhattan,8,6420,Brooklyn_to_Manhattan
Brooklyn,Manhattan,9,4492,Brooklyn_to_Manhattan
Brooklyn,Manhattan,10,2057,Brooklyn_to_Manhattan
Brooklyn,Manhattan,11,1740,Brooklyn_to_Manhattan
Brooklyn,Manhattan,12,1766,Brooklyn_to_Manhattan
Brooklyn,Manhattan,13,1744,Brooklyn_to_Manhattan
Brooklyn,Manhattan,14,1755,Brooklyn_to_Manhattan
Brooklyn,Manhattan,15,1871,Brooklyn_to_Manhattan
Brooklyn,Manhattan,16,2193,Brooklyn_to_Manhattan
