"year","month","day","num_trips"
"2018","08","21","75053"
"2018","08","22","72465"
"2018","08","23","73661"
"2018","08","24","72705"
"2018","08","25","64522"
"2018","08","26","60771"
"2018","08","27","67475"
"2018","08","28","66508"
"2018","08","29","65763"
"2018","08","30","67767"
"2018","08","31","58809"
"2018","09","1","54245"
"2018","09","2","60707"
"2018","09","3","54969"
"2018","09","4","68559"
"2018","09","5","74873"
"2018","09","6","70169"
"2018","09","7","74508"
"2018","09","8","58205"
"2018","09","9","19913"
"2018","09","10","23919"
"2018","09","11","66464"
"2018","09","12","53174"
"2018","09","13","73925"
"2018","09","14","74236"
"2018","09","15","71111"
"2018","09","16","69457"
"2018","09","17","71268"
"2018","09","18","53014"
"2018","09","19","74300"
"2018","09","20","76737"
"2018","09","21","74864"
"2018","09","22","69041"
"2018","09","23","55437"
"2018","09","24","71552"
"2018","09","25","25398"
"2018","09","26","67916"
"2018","09","27","75283"
"2018","09","28","57144"
"2018","09","29","69263"
"2018","09","30","66172"
"2018","10","1","71312"
"2018","10","2","73050"
"2018","10","3","76675"
"2018","10","4","70590"
"2018","10","5","74443"
"2018","10","6","57256"
"2018","10","7","60469"
"2018","10","8","57845"
"2018","10","9","73664"
"2018","10","10","76719"
"2018","10","11","46509"
"2018","10","12","66952"
"2018","10","13","54258"
"2018","10","14","53791"
"2018","10","15","58361"
"2018","10","16","65713"
"2018","10","17","66866"
"2018","10","18","60791"
"2018","10","19","63944"
"2018","10","20","55730"
"2018","10","21","38733"
"2018","10","22","57068"
"2018","10","23","67177"
"2018","10","24","63273"
"2018","10","25","60718"
"2018","10","26","59094"
"2018","10","27","12986"
"2018","10","28","42067"
"2018","10","29","59174"
"2018","10","30","64619"
"2018","10","31","67424"
"2018","11","1","73123"
"2018","11","2","62891"
"2018","11","3","48554"
"2018","11","4","50181"
"2018","11","5","32865"
"2018","11","6","39645"
"2018","11","7","66988"
"2018","11","8","63443"
"2018","11","9","36416"
"2018","11","10","37437"
"2018","11","11","36187"
"2018","11","12","50532"
"2018","11","13","36361"
"2018","11","14","48896"
"2018","11","15","24718"
"2018","11","16","34138"
"2018","11","17","37739"
"2018","11","18","34165"
"2018","11","19","53917"
"2018","11","20","51136"
"2018","11","21","39895"
"2018","11","22","8705"
"2018","11","23","15910"
"2018","11","24","19843"
"2018","11","25","34154"
"2018","11","26","28800"
"2018","11","27","49162"
"2018","11","28","47613"
"2018","11","29","50594"
"2018","11","30","45324"
"2018","12","1","37505"
"2018","12","2","18183"
"2018","12","3","53102"
"2018","12","4","48250"
"2018","12","5","45981"
"2018","12","6","45828"
"2018","12","7","43206"
"2018","12","8","29518"
"2018","12","9","27194"
"2018","12","10","42666"
"2018","12","11","46575"
"2018","12","12","46999"
"2018","12","13","40159"
"2018","12","14","44135"
"2018","12","15","35929"
"2018","12","16","9738"
"2018","12","17","44661"
"2018","12","18","41119"
"2018","12","19","43411"
"2018","12","20","33563"
"2018","12","21","23662"
