"year","month","start station id","start station name","start station latitude","start station longitude","num_trips"
"2018","9","285","Broadway & E 14 St","40.73454567","-73.99074142","9601"
"2018","9","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","9378"
"2018","9","459","W 20 St & 11 Ave","40.746745","-74.007756","9249"
"2018","9","2006","Central Park S & 6 Ave","40.76590936","-73.97634151","9164"
"2018","10","519","Pershing Square North","40.751873","-73.977706","16261"
"2018","10","402","Broadway & E 22 St","40.7403432","-73.98955109","11919"
"2018","10","497","E 17 St & Broadway","40.73704984","-73.99009296","11525"
"2018","10","435","W 21 St & 6 Ave","40.74173969","-73.99415556","11445"
"2018","10","490","8 Ave & W 33 St","40.751551","-73.993934","10428"
"2018","10","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","10109"
"2018","10","426","West St & Chambers St","40.71754834","-74.01322069","9842"
"2018","10","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","9428"
"2018","10","285","Broadway & E 14 St","40.73454567","-73.99074142","9409"
"2018","10","459","W 20 St & 11 Ave","40.746745","-74.007756","9181"
"2018","11","519","Pershing Square North","40.751873","-73.977706","10472"
"2018","11","497","E 17 St & Broadway","40.73704984","-73.99009296","8190"
"2018","11","435","W 21 St & 6 Ave","40.74173969","-73.99415556","8068"
"2018","11","402","Broadway & E 22 St","40.7403432","-73.98955109","7564"
"2018","11","499","Broadway & W 60 St","40.76915505","-73.98191841","7133"
"2018","11","285","Broadway & E 14 St","40.73454567","-73.99074142","7126"
"2018","11","490","8 Ave & W 33 St","40.751551","-73.993934","7088"
"2018","11","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6924"
"2018","11","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","6428"
"2018","11","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","6273"
"2018","12","519","Pershing Square North","40.751873","-73.977706","8212"
"2018","12","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6720"
"2018","12","497","E 17 St & Broadway","40.73704984","-73.99009296","6619"
"2018","12","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6231"
"2018","12","285","Broadway & E 14 St","40.73454567","-73.99074142","5784"
"2018","12","402","Broadway & E 22 St","40.7403432","-73.98955109","5690"
"2018","12","499","Broadway & W 60 St","40.76915505","-73.98191841","5064"
"2018","12","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5041"
"2018","12","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","5001"
"2018","12","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","4918"
"2019","1","519","Pershing Square North","40.751873","-73.977706","8873"
"2019","1","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6539"
"2019","1","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6288"
"2019","1","402","Broadway & E 22 St","40.7403432","-73.98955109","5888"
"2019","1","497","E 17 St & Broadway","40.73704984","-73.99009296","5765"
"2019","1","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5529"
"2019","1","285","Broadway & E 14 St","40.73454567","-73.99074142","5293"
"2019","1","490","8 Ave & W 33 St","40.751551","-73.993934","5214"
"2019","1","359","E 47 St & Park Ave","40.75510267","-73.97498696","5050"
"2019","1","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","4984"
"2019","2","519","Pershing Square North","40.751873","-73.977706","8083"
"2019","2","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6298"
"2019","2","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","5967"
"2019","2","497","E 17 St & Broadway","40.73704984","-73.99009296","5894"
"2019","2","402","Broadway & E 22 St","40.7403432","-73.98955109","5784"
"2019","2","285","Broadway & E 14 St","40.73454567","-73.99074142","5708"
"2019","2","490","8 Ave & W 33 St","40.751551","-73.993934","5035"
"2019","2","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5028"
"2019","2","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","4835"
"2019","2","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","4805"
"2019","3","519","Pershing Square North","40.751873","-73.977706","10888"
"2019","3","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","8566"
"2019","3","435","W 21 St & 6 Ave","40.74173969","-73.99415556","8184"
"2019","3","497","E 17 St & Broadway","40.73704984","-73.99009296","8074"
"2019","3","402","Broadway & E 22 St","40.7403432","-73.98955109","7997"
"2019","3","285","Broadway & E 14 St","40.73454567","-73.99074142","7082"
"2019","3","490","8 Ave & W 33 St","40.751551","-73.993934","7017"
"2019","3","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","6292"
"2019","3","499","Broadway & W 60 St","40.76915505","-73.98191841","6204"
"2019","3","359","E 47 St & Park Ave","40.75510267","-73.97498696","6106"
"2019","4","519","Pershing Square North","40.751873","-73.977706","13625"
"2019","4","402","Broadway & E 22 St","40.7403432","-73.98955109","10693"
"2019","4","497","E 17 St & Broadway","40.73704984","-73.99009296","10399"
"2019","4","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","10136"
"2019","4","435","W 21 St & 6 Ave","40.74173969","-73.99415556","9994"
"2019","4","285","Broadway & E 14 St","40.73454567","-73.99074142","9440"
"2019","4","499","Broadway & W 60 St","40.76915505","-73.98191841","9240"
"2019","4","426","West St & Chambers St","40.71754834","-74.01322069","8995"
"2019","4","459","W 20 St & 11 Ave","40.746745","-74.007756","8603"
"2019","4","358","Christopher St & Greenwich St","40.73291553","-74.00711384","8561"
"2019","5","519","Pershing Square North","40.751873","-73.977706","14718"
"2019","5","285","Broadway & E 14 St","40.73454567","-73.99074142","12469"
"2019","5","497","E 17 St & Broadway","40.73704984","-73.99009296","11718"
"2019","5","426","West St & Chambers St","40.71754834","-74.01322069","11483"
"2019","5","514","12 Ave & W 40 St","40.76087502","-74.00277668","11140"
"2019","5","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","11009"
"2019","5","402","Broadway & E 22 St","40.7403432","-73.98955109","10754"
"2019","5","499","Broadway & W 60 St","40.76915505","-73.98191841","10348"
"2019","5","358","Christopher St & Greenwich St","40.73291553","-74.00711384","9763"
"2019","5","459","W 20 St & 11 Ave","40.746745","-74.007756","9651"
"2019","6","519","Pershing Square North","40.751873","-73.977706","14775"
"2019","6","514","12 Ave & W 40 St","40.76087502","-74.00277668","13505"
"2019","6","426","West St & Chambers St","40.71754834","-74.01322069","13407"
"2019","6","402","Broadway & E 22 St","40.7403432","-73.98955109","12177"
"2019","6","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","11971"
"2019","6","499","Broadway & W 60 St","40.76915505","-73.98191841","11670"
"2019","6","358","Christopher St & Greenwich St","40.73291553","-74.00711384","11223"
"2019","6","492","W 33 St & 7 Ave","40.75019995","-73.99093085","10827"
"2019","6","497","E 17 St & Broadway","40.73704984","-73.99009296","10740"
"2019","6","285","Broadway & E 14 St","40.73454567","-73.99074142","10671"
"2019","7","519","Pershing Square North","40.751873","-73.977706","16343"
"2019","7","514","12 Ave & W 40 St","40.76087502","-74.00277668","12966"
"2019","7","426","West St & Chambers St","40.71754834","-74.01322069","12866"
"2019","7","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","12487"
"2019","7","497","E 17 St & Broadway","40.73704984","-73.99009296","12444"
"2019","7","402","Broadway & E 22 St","40.7403432","-73.98955109","11911"
"2019","7","358","Christopher St & Greenwich St","40.73291553","-74.00711384","11695"
"2019","7","499","Broadway & W 60 St","40.76915505","-73.98191841","11373"
"2019","7","435","W 21 St & 6 Ave","40.74173969","-73.99415556","11278"
"2019","7","459","W 20 St & 11 Ave","40.746745","-74.007756","10530"
"2019","8","519","Pershing Square North","40.751873","-73.977706","16563"
"2019","8","497","E 17 St & Broadway","40.73704984","-73.99009296","14334"
"2019","8","426","West St & Chambers St","40.71754834","-74.01322069","13872"
"2019","8","514","12 Ave & W 40 St","40.76087502","-74.00277668","13428"
"2019","8","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","12871"
"2019","8","435","W 21 St & 6 Ave","40.74173969","-73.99415556","12711"
"2019","8","285","Broadway & E 14 St","40.73454567","-73.99074142","12615"
"2019","8","358","Christopher St & Greenwich St","40.73291553","-74.00711384","12249"
"2019","8","499","Broadway & W 60 St","40.76915505","-73.98191841","11956"
"2019","8","402","Broadway & E 22 St","40.7403432","-73.98955109","11521"
"2019","9","519","Pershing Square North","40.751873","-73.977706","16967"
"2019","9","285","Broadway & E 14 St","40.73454567","-73.99074142","15121"
"2019","9","497","E 17 St & Broadway","40.73704984","-73.99009296","14634"
"2019","9","426","West St & Chambers St","40.71754834","-74.01322069","14400"
"2019","9","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","13672"
"2019","9","435","W 21 St & 6 Ave","40.74173969","-73.99415556","13188"
"2019","9","514","12 Ave & W 40 St","40.76087502","-74.00277668","13152"
"2019","9","358","Christopher St & Greenwich St","40.73291553","-74.00711384","13069"
"2019","9","402","Broadway & E 22 St","40.7403432","-73.98955109","12314"
"2019","9","499","Broadway & W 60 St","40.76915505","-73.98191841","12271"
"2019","10","519","Pershing Square North","40.751873","-73.977706","16424"
"2019","10","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","12835"
"2019","10","435","W 21 St & 6 Ave","40.74173969","-73.99415556","12401"
"2019","10","497","E 17 St & Broadway","40.73704984","-73.99009296","12372"
"2019","10","402","Broadway & E 22 St","40.7403432","-73.98955109","10906"
"2019","10","285","Broadway & E 14 St","40.73454567","-73.99074142","10628"
"2019","10","490","8 Ave & W 33 St","40.751551","-73.993934","10453"
"2019","10","358","Christopher St & Greenwich St","40.73291553","-74.00711384","10317"
"2019","10","465","Broadway & W 41 St","40.75513557","-73.98658032","10185"
"2019","10","3641","Broadway & W 25 St","40.74286877312112","-73.98918628692627","10119"
"2019","11","519","Pershing Square North","40.751873","-73.977706","11734"
"2019","11","435","W 21 St & 6 Ave","40.74173969","-73.99415556","9251"
"2019","11","497","E 17 St & Broadway","40.73704984","-73.99009296","9088"
"2019","11","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","8606"
"2019","11","505","6 Ave & W 33 St","40.74901271","-73.98848395","7939"
"2019","11","285","Broadway & E 14 St","40.73454567","-73.99074142","7927"
"2019","11","402","Broadway & E 22 St","40.7403432","-73.98955109","7829"
"2019","11","465","Broadway & W 41 St","40.75513557","-73.98658032","7687"
"2019","11","379","W 31 St & 7 Ave","40.749156","-73.9916","7375"
"2019","11","3711","E 13 St & Avenue A","40.72966729392978","-73.98067966103554","7202"
"2019","12","519","Pershing Square North","40.751873","-73.977706","7560"
"2019","12","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6422"
"2019","12","497","E 17 St & Broadway","40.73704984","-73.99009296","6139"
"2019","12","285","Broadway & E 14 St","40.73454567","-73.99074142","5555"
"2019","12","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","5530"
"2019","12","402","Broadway & E 22 St","40.7403432","-73.98955109","5207"
"2019","12","505","6 Ave & W 33 St","40.74901271","-73.98848395","5189"
"2019","12","3711","E 13 St & Avenue A","40.72966729392978","-73.98067966103554","5009"
"2019","12","490","8 Ave & W 33 St","40.751551","-73.993934","4942"
"2019","12","477","W 41 St & 8 Ave","40.75640548","-73.9900262","4696"
"2020","1","519","Pershing Square North","40.751873","-73.977706","10731"
"2020","1","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","7849"
"2020","1","435","W 21 St & 6 Ave","40.74173969","-73.99415556","7807"
"2020","1","497","E 17 St & Broadway","40.73704984","-73.99009296","7444"
"2020","1","402","Broadway & E 22 St","40.7403432","-73.98955109","7304"
"2020","1","505","6 Ave & W 33 St","40.74901271","-73.98848395","6630"
"2020","1","490","8 Ave & W 33 St","40.751551","-73.993934","6562"
"2020","1","477","W 41 St & 8 Ave","40.75640548","-73.9900262","6437"
"2020","1","359","E 47 St & Park Ave","40.75510267","-73.97498696","6190"
"2020","1","285","Broadway & E 14 St","40.73454567","-73.99074142","6046"
"2020","2","519","Pershing Square North","40.751873","-73.977706","9393"
"2020","2","435","W 21 St & 6 Ave","40.74173969","-73.99415556","7139"
"2020","2","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6993"
"2020","2","497","E 17 St & Broadway","40.73704984","-73.99009296","6828"
"2020","2","402","Broadway & E 22 St","40.7403432","-73.98955109","6275"
"2020","2","505","6 Ave & W 33 St","40.74901271","-73.98848395","6104"
"2020","2","285","Broadway & E 14 St","40.73454567","-73.99074142","5915"
"2020","2","490","8 Ave & W 33 St","40.751551","-73.993934","5906"
"2020","2","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5841"
"2020","2","459","W 20 St & 11 Ave","40.746745","-74.007756","5474"
"2020","3","519","Pershing Square North","40.751873","-73.977706","6673"
"2020","3","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6038"
"2020","3","426","West St & Chambers St","40.71754834","-74.01322069","5805"
"2020","3","497","E 17 St & Broadway","40.73704984","-73.99009296","5577"
"2020","3","499","Broadway & W 60 St","40.76915505","-73.98191841","5353"
"2020","3","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","5285"
