"year","month","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","01","3224","W 13 St & Hudson St","40.73997354103409","-74.00513872504234","2192"
"2018","01","3260","Mercer St & Bleecker St","40.72706363348306","-73.99662137031554","2181"
"2018","01","327","Vesey Pl & River Terrace","40.7153379","-74.01658354","2180"
"2018","01","383","Greenwich Ave & Charles St","40.735238","-74.000271","2176"
"2018","01","514","12 Ave & W 40 St","40.76087502","-74.00277668","2140"
"2018","01","301","E 2 St & Avenue B","40.72217444","-73.98368779","2128"
"2018","01","540","Lexington Ave & E 29 St","40.74311555376486","-73.98215353488922","2126"
"2018","01","476","E 31 St & 3 Ave","40.74394314","-73.97966069","2123"
"2018","01","3236","W 42 St & Dyer Ave","40.75898481399634","-73.99379968643188","2118"
"2018","01","3258","W 27 St & 10 Ave","40.75018156325683","-74.00218427181244","2117"
"2018","01","458","11 Ave & W 27 St","40.751396","-74.005226","2114"
"2018","01","531","Forsyth St & Broome St","40.71893904","-73.99266288","2110"
"2018","01","478","11 Ave & W 41 St","40.76030096","-73.99884222","2106"
"2018","01","526","E 33 St & 5 Ave","40.74765947","-73.98490707","2106"
"2018","01","317","E 6 St & Avenue B","40.72453734","-73.98185424","2094"
"2018","01","445","E 10 St & Avenue A","40.72740794","-73.98142006","2086"
"2018","01","312","Allen St & Stanton St","40.722055","-73.989111","2085"
"2018","01","410","Suffolk St & Stanton St","40.72066442","-73.98517977","2067"
"2018","01","326","E 11 St & 1 Ave","40.72953837","-73.98426726","2052"
"2018","01","3458","W 55 St & 6 Ave","40.76309387270797","-73.9783501625061","2045"
"2018","01","3429","Hanson Pl & Ashland Pl","40.68506807308177","-73.97790759801863","2044"
"2018","01","3632","E 12 St & Avenue B","40.728048571362606","-73.97881150245667","2040"
"2018","01","528","2 Ave & E 31 St","40.74290902","-73.97706058","2021"
"2018","01","3164","Columbus Ave & W 72 St","40.7770575","-73.97898475","2009"
"2018","01","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","1999"
"2018","01","174","E 25 St & 1 Ave","40.7381765","-73.97738662","1995"
"2018","01","546","E 30 St & Park Ave S","40.74444921","-73.98303529","1982"
"2018","01","347","Greenwich St & W Houston St","40.728846","-74.008591","1982"
"2018","01","433","E 13 St & Avenue A","40.72955361","-73.98057249","1970"
"2018","01","468","Broadway & W 56 St","40.7652654","-73.98192338","1938"
"2018","01","401","Allen St & Rivington St","40.72019576","-73.98997825","1933"
