year,station_name,trips,trips_in_thousands
2019,Pershing Square North,313106,313
2019,E 17 St & Broadway,243202,243
2019,8 Ave & W 31 St,239876,240
2019,Broadway & E 22 St,225962,226
2019,Broadway & E 14 St,205018,205
2019,W 21 St & 6 Ave,192532,193
2019,Christopher St & Greenwich St,153754,154
2019,West St & Chambers St,150046,150
2019,Broadway & W 60 St,146124,146
2019,12 Ave & W 40 St,128382,128
2019,8 Ave & W 33 St,65322,65
2019,W 20 St & 11 Ave,57568,58
2019,Broadway & W 41 St,35744,36
2019,W 16 St & 8 Ave,32162,32
2019,W 41 St & 8 Ave,30506,31
2019,6 Ave & W 33 St,26256,26
2019,E 13 St & Avenue A,24422,24
2019,E 47 St & Park Ave,22312,22
2019,W 33 St & 7 Ave,21654,22
2019,Broadway & W 25 St,20238,20
2019,W 31 St & 7 Ave,14750,15
2019,Lafayette St & E 8 St,9670,10
