"year","start station id","start station name","start station latitude","start station longitude","num_trips"
"2018","519","Pershing Square North","40.751873","-73.977706","150220"
"2018","497","E 17 St & Broadway","40.73704984","-73.99009296","108699"
"2018","435","W 21 St & 6 Ave","40.74173969","-73.99415556","107037"
"2018","402","Broadway & E 22 St","40.7403432","-73.98955109","105516"
"2018","426","West St & Chambers St","40.71754834","-74.01322069","94353"
"2018","285","Broadway & E 14 St","40.73454567","-73.99074142","93298"
"2018","477","W 41 St & 8 Ave","40.75640548","-73.9900262","87714"
"2018","490","8 Ave & W 33 St","40.751551","-73.993934","85262"
"2018","499","Broadway & W 60 St","40.76915505","-73.98191841","84930"
"2018","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","82996"
"2018","514","12 Ave & W 40 St","40.76087502","-74.00277668","82255"
"2018","368","Carmine St & 6 Ave","40.73038599","-74.00214988","80502"
"2018","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","80030"
"2018","2006","Central Park S & 6 Ave","40.76590936","-73.97634151","79016"
"2018","281","Grand Army Plaza & Central Park S","40.7643971","-73.97371465","78523"
"2018","358","Christopher St & Greenwich St","40.73291553","-74.00711384","77873"
"2018","3002","South End Ave & Liberty St","40.711512","-74.015756","76836"
"2018","492","W 33 St & 7 Ave","40.75019995","-73.99093085","75845"
"2018","229","Great Jones St","40.72743423","-73.99379025","75716"
"2018","382","University Pl & E 14 St","40.73492695","-73.99200509","75539"
"2018","459","W 20 St & 11 Ave","40.746745","-74.007756","75479"
"2018","505","6 Ave & W 33 St","40.74901271","-73.98848395","75230"
"2018","379","W 31 St & 7 Ave","40.749156","-73.9916","74884"
"2018","3641","Broadway & W 25 St","40.74286877312112","-73.98918628692627","74508"
"2018","359","E 47 St & Park Ave","40.75510267","-73.97498696","74426"
"2018","3263","Cooper Square & Astor Pl","40.72951496224949","-73.99075269699097","72840"
"2018","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","72555"
"2018","168","W 18 St & 6 Ave","40.73971301","-73.99456405","71215"
"2018","387","Centre St & Chambers St","40.71273266","-74.0046073","70746"
"2018","523","W 38 St & 8 Ave","40.75466591","-73.99138152","68583"
"2018","3164","Columbus Ave & W 72 St","40.7770575","-73.97898475","68024"
"2018","3435","Grand St & Elizabeth St","40.718822","-73.99596","67551"
"2018","504","1 Ave & E 16 St","40.73221853","-73.98165557","67409"
"2018","465","Broadway & W 41 St","40.75513557","-73.98658032","67193"
"2018","491","E 24 St & Park Ave S","40.74096374","-73.98602213","65704"
"2018","327","Vesey Pl & River Terrace","40.7153379","-74.01658354","64795"
"2018","445","E 10 St & Avenue A","40.72740794","-73.98142006","64754"
"2018","446","W 24 St & 7 Ave","40.74487634","-73.99529885","64038"
"2018","432","E 7 St & Avenue A","40.72621788","-73.98379855","63213"
"2018","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","63092"
"2018","457","Broadway & W 58 St","40.76695317","-73.98169333","62268"
"2018","173","Broadway & W 49 St","40.76068327096592","-73.9845272898674","62193"
"2018","462","W 22 St & 10 Ave","40.74691959","-74.00451887","62077"
"2018","482","W 15 St & 7 Ave","40.73935542","-73.99931783","61502"
"2018","453","W 22 St & 8 Ave","40.74475148","-73.99915362","60903"
"2018","128","MacDougal St & Prince St","40.72710258","-74.00297088","60813"
"2018","127","Barrow St & Hudson St","40.73172428","-74.00674436","60660"
"2018","509","9 Ave & W 22 St","40.7454973","-74.00197139","60194"
"2018","472","E 32 St & Park Ave","40.7457121","-73.98194829","59997"
"2018","3427","Lafayette St & Jersey St","40.72430527250332","-73.99600982666016","59860"
"2018","405","Washington St & Gansevoort St","40.739323","-74.008119","59827"
"2018","486","Broadway & W 29 St","40.7462009","-73.98855723","59393"
"2018","442","W 27 St & 7 Ave","40.746647","-73.993915","58174"
"2018","479","9 Ave & W 45 St","40.76019252","-73.9912551","58145"
"2018","3141","1 Ave & E 68 St","40.76500525","-73.95818491","57719"
"2018","496","E 16 St & 5 Ave","40.73726186","-73.99238967","57146"
"2018","483","E 12 St & 3 Ave","40.73223272","-73.98889957","57061"
"2018","498","Broadway & W 32 St","40.74854862","-73.98808416","57059"
"2018","494","W 26 St & 8 Ave","40.74734825","-73.99723551","56991"
"2018","458","11 Ave & W 27 St","40.751396","-74.005226","56457"
"2018","3260","Mercer St & Bleecker St","40.72706363348306","-73.99662137031554","55728"
"2018","466","W 25 St & 6 Ave","40.74395411","-73.99144871","55696"
"2018","450","W 49 St & 8 Ave","40.76227205","-73.98788205","55121"
"2018","3233","E 48 St & 5 Ave","40.75724567911726","-73.97805914282799","54335"
"2018","237","E 11 St & 2 Ave","40.73047309","-73.98672378","54264"
"2018","517","Pershing Square South","40.751581","-73.97791","54067"
"2018","545","E 23 St & 1 Ave","40.736502","-73.97809472","53828"
"2018","3165","Central Park West & W 72 St","40.77579376683666","-73.9762057363987","53776"
"2018","518","E 39 St & 2 Ave","40.74780373","-73.9734419","53520"
"2018","3256","Pier 40 - Hudson River Park","40.7277140777778","-74.01129573583603","53449"
"2018","297","E 15 St & 3 Ave","40.734232","-73.986923","53402"
"2018","487","E 20 St & FDR Drive","40.73314259","-73.97573881","53231"
"2018","507","E 25 St & 2 Ave","40.73912601","-73.97973776","53223"
"2018","3167","Amsterdam Ave & W 73 St","40.77966809007312","-73.98093044757842","52881"
"2018","3258","W 27 St & 10 Ave","40.75018156325683","-74.00218427181244","52797"
"2018","347","Greenwich St & W Houston St","40.728846","-74.008591","52616"
"2018","312","Allen St & Stanton St","40.722055","-73.989111","52378"
"2018","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","52341"
"2018","251","Mott St & Prince St","40.72317958","-73.99480012","52097"
"2018","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","51733"
"2018","468","Broadway & W 56 St","40.7652654","-73.98192338","51608"
"2018","307","Canal St & Rutgers St","40.71427487","-73.98990025","51286"
"2018","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","49976"
"2018","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","49957"
"2018","461","E 20 St & 2 Ave","40.73587678","-73.98205027","49746"
"2018","2008","Little West St & 1 Pl","40.70569254","-74.01677685","49706"
"2018","403","E 2 St & 2 Ave","40.72502876","-73.99069656","49656"
"2018","3443","W 52 St & 6 Ave","40.76132983124814","-73.97982001304626","49541"
"2018","531","Forsyth St & Broome St","40.71893904","-73.99266288","49527"
"2018","3163","Central Park West & W 68 St","40.7734066","-73.97782542","48979"
"2018","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","48460"
"2018","401","Allen St & Rivington St","40.72019576","-73.98997825","48169"
"2018","2003","1 Ave & E 18 St","40.733812191966315","-73.98054420948029","48010"
"2018","383","Greenwich Ave & Charles St","40.735238","-74.000271","47741"
"2018","528","2 Ave & E 31 St","40.74290902","-73.97706058","47395"
