year,station_name,trips,trips_in_thousands
2018,Pershing Square North,300440,300
2018,E 17 St & Broadway,217398,217
2018,W 21 St & 6 Ave,214074,214
2018,Broadway & E 22 St,211032,211
2018,Broadway & E 14 St,167860,168
2018,West St & Chambers St,140226,140
2018,8 Ave & W 31 St,112614,113
2018,W 41 St & 8 Ave,92904,93
2018,Central Park S & 6 Ave,90878,91
2018,12 Ave & W 40 St,87352,87
2018,8 Ave & W 33 St,85724,86
2018,W 20 St & 11 Ave,74596,75
2018,Lafayette St & E 8 St,60304,60
2018,Broadway & W 60 St,57884,58
2018,Grand Army Plaza & Central Park S,55250,55
2018,W 38 St & 8 Ave,27506,28
2018,W 16 St & 8 Ave,22548,23
2018,W 33 St & 7 Ave,22224,22
2018,W 22 St & 10 Ave,20142,20
2018,South End Ave & Liberty St,19086,19
2018,E 47 St & Park Ave,8946,9
