"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"78572","2018-01-29 15:12:13.7690","2018-01-30 13:01:46.2080","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1987","1"
"2719","2018-01-30 13:02:07.5070","2018-01-30 13:47:27.4650","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"2620","2018-01-30 13:04:05.0700","2018-01-30 13:47:45.8480","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Subscriber","1987","1"
"2709","2018-01-31 09:58:10.9920","2018-01-31 10:43:20.0170","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Subscriber","1987","1"
"2675","2018-01-31 09:58:28.8930","2018-01-31 10:43:04.8680","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"2786","2018-01-31 11:43:43.1560","2018-01-31 12:30:09.7270","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Customer","1985","2"
"2746","2018-01-31 11:44:03.2140","2018-01-31 12:29:49.4780","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Customer","1988","1"
"2662","2018-01-31 13:02:55.1780","2018-01-31 13:47:17.2490","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Customer","1988","1"
"2628","2018-01-31 13:03:12.2760","2018-01-31 13:47:01.1600","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Customer","1985","2"
"66368","2018-02-05 13:59:47.3660","2018-02-06 08:25:55.6760","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Subscriber","1986","1"
"1995","2018-02-08 10:58:11.4890","2018-02-08 11:31:26.9600","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1987","1"
"1903","2018-02-08 10:58:29.7630","2018-02-08 11:30:13.0300","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","21928","Subscriber","1986","1"
